time,stroke_usec,tick_usec,force,power,spm
301625414,0,145005,0.949442,0,0.2
301852683,227269,43632,10.497362,11.446804,0.2
301997369,371955,33359,17.964018,29.410822,0.2
302119692,494278,29444,23.065632,52.476454,0.2
302235011,609597,28809,24.095682,76.572136,0.2
302352624,727210,29836,22.458402,99.030538,0.2
302477221,851807,32131,19.369088,118.399626,0.2
302624974,999560,40562,12.15245,130.552076,0.2
302786121,1160707,-161147,0.7688,130.552076,0.2
302894498,1269084,-23585,35.938242,130.552076,0.2
302985363,1359949,-23252,36.98,130.552076,0.2
303076068,1450654,-23141,37.342082,130.552076,0.2
303171520,1546106,-24976,32.048018,130.552076,0.2
303275957,1650543,-27648,26.150912,130.552076,0.2
303395584,1770170,-32277,19.195208,130.552076,0.2
303562072,1936658,-51998,7.395858,130.552076,0.2
304065631,0,69624,4.124192,130,24.5
304257389,191758,39658,12.710882,16.835074,24.5
304395224,329593,31507,20.135858,36.970932,24.5
304510460,444829,27626,26.194322,63.165254,24.5
304618257,552626,26604,28.245128,91.410382,24.5
304725942,660311,26977,27.468872,118.879254,24.5
304835126,769495,27506,26.42645,145.305704,24.5
304951744,886113,30199,21.925442,167.231146,24.5
305218386,1152755,-24835,32.417352,167.231146,24.5
305314305,1248674,-23981,34.761122,167.231146,24.5
305404593,1338962,-22052,41.114312,167.231146,24.5
305487198,1421567,-20899,45.773312,167.231146,24.5
305572929,1507298,-22557,39.302978,167.231146,24.5
305678310,1612679,-30224,21.885728,167.231146,24.5
305823826,1758195,-41014,11.887688,167.231146,24.5
306066152,2000521,-89331,2.504322,167.231146,24.5
306422818,0,47740,8.769672,167,25.4
306579244,156426,35718,15.668802,24.438474,25.4
306711551,288733,31850,19.706642,44.145116,25.4
306834486,411668,30049,22.137858,66.282974,25.4
306951241,528423,28865,23.998592,90.281566,25.4
307066502,643684,28752,24.192968,114.474534,25.4
307183357,760539,29725,22.632992,137.107526,25.4
307310119,887301,34059,17.240192,154.347718,25.4
307448087,1025269,-137968,1.048352,154.347718,25.4
307565794,1142976,-25078,31.792338,154.347718,25.4
307658525,1235707,-23328,36.739592,154.347718,25.4
307750008,1327190,-23366,36.619682,154.347718,25.4
307844868,1422050,-24987,32.032008,154.347718,25.4
307950176,1527358,-27858,25.761842,154.347718,25.4
308071809,1648991,-32981,18.386048,154.347718,25.4
308220990,1798172,-41998,11.338322,154.347718,25.4
308716851,0,51365,7.573832,154,26.1
308880990,164139,36383,15.103008,22.67684,26.1
309017612,300761,32684,18.714962,41.391802,26.1
309141457,424606,30070,22.11125,63.503052,26.1
309374991,658140,28896,23.9432,111.265054,26.1
309492725,775874,29780,22.538898,133.803952,26.1
309617440,900589,32151,19.3442,153.148152,26.1
309773392,1056541,-155952,0.821762,153.148152,26.1
309917561,1200710,-33213,18.1202,153.148152,26.1
310041814,1324963,-30972,20.839968,153.148152,26.1
310158852,1442001,-28534,24.556032,153.148152,26.1
310262238,1545387,-25715,30.233088,153.148152,26.1
310369813,1652962,-28634,24.388128,153.148152,26.1
310503280,1786429,-38890,13.220082,153.148152,26.1
310679472,1962621,-48468,8.511938,153.148152,26.1
311316214,0,55070,6.58845,153,23
311504210,187996,42106,11.271752,17.860202,23
311657584,341370,36731,14.818568,32.67877,23
311798446,482232,33977,17.322498,50.001268,23
311930743,614529,32483,18.948168,68.949436,23
312060699,744485,32360,19.0962,88.045636,23
312190269,874055,32620,18.78845,106.834086,23
312325585,1009371,34732,16.577282,123.411368,23
312544467,1228253,-41578,11.56805,123.411368,23
312669428,1353214,-27775,25.92,123.411368,23
312768012,1451798,-24276,33.932322,123.411368,23
312864034,1547820,-24394,33.603602,123.411368,23
312962389,1646175,-25656,30.373218,123.411368,23
313072299,1756085,-29647,22.754258,123.411368,23
313207355,1891141,-37575,14.161842,123.411368,23
313372718,2056504,-44787,9.963648,123.411368,23
313625396,2309182,-93438,2.2898,123.411368,23
314043818,0,52553,7.235208,123,21.9
314223214,179396,41591,11.558432,18.79364,21.9
314379708,335890,37168,14.4722,33.26584,21.9
314518827,475009,33699,17.606178,50.872018,21.9
314650230,606412,32299,19.170432,70.04245,21.9
314777836,734018,31601,20.021792,90.064242,21.9
314904845,861027,31953,19.581282,109.645524,21.9
315037365,993547,33908,17.393202,127.038726,21.9
315248286,1204468,-45070,9.839048,127.038726,21.9
315371601,1327783,-26888,27.661922,127.038726,21.9
315467470,1423652,-23472,36.2952,127.038726,21.9
315562514,1518696,-24283,33.915848,127.038726,21.9
315662878,1619060,-26786,27.870578,127.038726,21.9
315772246,1728428,-29196,23.46125,127.038726,21.9
315900681,1856863,-35089,16.233602,127.038726,21.9
316057189,2013371,-42785,10.923138,127.038726,21.9
316331813,2287995,-115402,1.499912,127.038726,21.9
316660737,0,53297,7.038752,127,22.9
316840336,179599,40795,12.014802,19.053554,22.9
316991727,330990,35967,15.4568,34.510354,22.9
317127945,467208,33246,18.084098,52.594452,22.9
317259907,599170,32996,18.3618,70.956252,22.9
317394652,733915,33761,17.535042,88.491294,22.9
317531412,870675,34421,16.87805,105.369344,22.9
317675617,1014880,36777,14.785922,120.155266,22.9
317930678,1269941,-47938,8.702792,120.155266,22.9
318059395,1398658,-28907,23.929362,120.155266,22.9
318163765,1503028,-26421,28.637312,120.155266,22.9
318277761,1617024,-31249,20.48,120.155266,22.9
319032671,2371934,-58658,5.807232,120.155266,22.9
319503307,0,63888,4.89845,120,21.1
319716994,213687,46822,9.11645,14.0149,21.1
319882814,379507,39110,13.066272,27.081172,21.1
320030184,526877,35537,15.825938,42.90711,21.1
320169709,666402,34346,16.947842,59.854952,21.1
320306822,803515,33998,17.298962,77.153914,21.1
320443834,940527,34320,16.971138,94.125052,21.1
320598935,1095628,47686,8.794818,102.91987,21.1
321028932,1525625,-102123,1.916882,102.91987,21.1
321243150,1739843,-47005,9.048258,102.91987,21.1
321433901,1930594,-46821,9.11645,102.91987,21.1
321579535,2076228,-31497,20.148552,102.91987,21.1
321681097,2177790,-24167,34.229538,102.91987,21.1
321777665,2274358,-25688,30.295328,102.91987,21.1
321911014,2407707,-40760,12.034418,102.91987,21.1
322383108,0,61947,5.209992,102,20.8
322581740,198632,43792,10.424178,15.63417,20.8
322741909,358801,38288,13.634642,29.268812,20.8
322890304,507196,36663,14.873058,44.14187,20.8
323035106,651998,35896,15.51245,59.65432,20.8
323178857,795749,35889,15.523592,75.177912,20.8
323322955,939847,36132,15.312578,90.49049,20.8
323474146,1091038,39581,12.761352,103.251842,20.8
323594098,1210990,-119952,1.387778,103.251842,20.8
323723186,1340078,-25942,29.706632,103.251842,20.8
323818554,1435446,-24461,33.423488,103.251842,20.8
323919849,1536741,-26472,28.531458,103.251842,20.8
324029603,1646495,-28827,24.054048,103.251842,20.8
324152355,1769247,-32942,18.42245,103.251842,20.8
324300257,1917149,-40335,12.290882,103.251842,20.8
324482795,2099687,-50821,7.738178,103.251842,20.8
325022570,0,59483,5.651522,103,22.7
325221318,198748,44929,9.90125,15.552772,22.7
325383460,360890,38302,13.6242,29.176972,22.7
325526745,504175,33947,17.34605,46.523022,22.7
325661463,638893,33144,18.204578,64.7276,22.7
325792817,770247,32535,18.886658,83.614258,22.7
325923661,901091,32810,18.568418,102.182676,22.7
326061587,1039017,35863,15.545888,117.728564,22.7
326213889,1191319,-152302,0.860672,117.728564,22.7
326328902,1306332,-26035,29.4912,117.728564,22.7
326430991,1408421,-26512,28.440882,117.728564,22.7
326535451,1512881,-25899,29.814642,117.728564,22.7
326638234,1615664,-26664,28.125,117.728564,22.7
326891684,1869114,-38617,13.405842,117.728564,22.7
327066269,2043699,-48054,8.6528,117.728564,22.7
327589058,0,56918,6.167072,117,23.3
327779959,190901,42774,10.923138,17.09021,23.3
327937557,348499,37909,13.907538,30.997748,23.3
328081229,492171,34591,16.7042,47.701948,23.3
328626867,1037809,39418,12.862592,114.651638,23.3
328774697,1185639,-147830,0.913952,114.651638,23.3
329025427,1436369,-24891,32.272578,114.651638,23.3
329122197,1533139,-24407,33.570818,114.651638,23.3
329222296,1633238,-26261,28.986498,114.651638,23.3
329337786,1748728,-31515,20.135858,114.651638,23.3
329476402,1887344,-38246,13.665992,114.651638,23.3
329653334,2064276,-49898,8.032032,114.651638,23.3
330199716,0,58136,5.9168,114,22.9
330400824,201108,45914,9.478658,15.395458,22.9
330567098,367382,39603,12.75125,28.146708,22.9
330717369,517653,36272,15.191072,43.33778,22.9
330858619,658903,34779,16.53125,59.86903,22.9
330996960,797244,34251,17.041122,76.910152,22.9
331133721,934005,34188,17.11125,94.021402,22.9
331274043,1074327,35661,15.724832,109.746234,22.9
331437776,1238060,-163733,0.7442,109.746234,22.9
331553920,1354204,-25368,31.062962,109.746234,22.9
331648459,1448743,-23556,36.04005,109.746234,22.9
331741706,1541990,-23757,35.431362,109.746234,22.9
331842034,1642318,-26308,28.895202,109.746234,22.9
331956991,1757275,-30651,21.281288,109.746234,22.9
332089674,1889958,-36169,15.279392,109.746234,22.9
332254279,2054563,-46314,9.322562,109.746234,22.9
332776304,0,57447,6.0552,109,23.2
332970740,194436,44083,10.287648,16.342848,23.2
333132949,356645,38768,13.302482,29.64533,23.2
333278834,502530,35136,16.199432,45.844762,23.2
333416205,639901,33913,17.381408,63.22617,23.2
333553092,776788,34145,17.146368,80.372538,23.2
333692566,916262,35330,16.0178,96.390338,23.2
333846958,1070654,43354,10.635272,107.02561,23.2
333977703,1201399,-130745,1.167392,107.02561,23.2
334114877,1338573,-26671,28.110002,107.02561,23.2
334210231,1433927,-23571,35.989128,107.02561,23.2
334303317,1527013,-23655,35.735058,107.02561,23.2
334400498,1624194,-25283,31.28405,107.02561,23.2
335110801,2334497,-114393,1.527752,107.02561,23.2
335513203,0,53577,6.963912,107,21.9
335696569,183366,41306,11.7128,18.676712,21.9
335849291,336088,36727,14.818568,33.49528,21.9
335989992,476789,34565,16.738898,50.234178,21.9
336124901,611698,33318,18.012002,68.24618,21.9
336258476,745273,33358,17.964018,86.210198,21.9
336394236,881033,34385,16.912928,103.123126,21.9
336541272,1028069,40289,12.320648,115.443774,21.9
336677091,1163888,-135819,1.083392,115.443774,21.9
336815162,1301959,-30213,21.898962,115.443774,21.9
336928835,1415632,-28373,24.837152,115.443774,21.9
337040456,1527253,-28021,25.461248,115.443774,21.9
337151804,1638601,-28698,24.276512,115.443774,21.9
337275842,1762639,-33463,17.856288,115.443774,21.9
337427750,1914547,-42390,11.129762,115.443774,21.9
337619891,2106688,-54041,6.845,115.443774,21.9
338216565,0,62144,5.177762,115,22.1
338437748,221183,50481,7.8408,13.018562,22.1
338619938,403373,43588,10.524872,23.543434,22.1
338783456,566891,39079,13.086728,36.630162,22.1
338931997,715432,36357,15.125,51.755162,22.1
339077150,860585,36230,15.2352,66.990362,22.1
339224949,1008384,37523,14.20445,81.194812,22.1
339384202,1167637,42437,11.101472,92.296284,22.1
339559540,1342975,-175338,0.6498,92.296284,22.1
339706540,1489975,-30666,21.2552,92.296284,22.1
339820391,1603826,-28058,25.404192,92.296284,22.1
339924548,1707983,-25503,30.748482,92.296284,22.1
340025869,1809304,-26962,27.498528,92.296284,22.1
340149129,1932564,-34290,17.006112,92.296284,22.1
340316699,2100134,-47938,8.702792,92.296284,22.1
340541776,2325211,-64999,4.730888,92.296284,22.1
341187858,0,67838,4.345352,92,20.1
341413276,225418,49887,8.032032,12.377384,20.1
341593348,405490,42925,10.848482,23.225866,20.1
341755666,567808,39045,13.117442,36.343308,20.1
341907120,719262,37259,14.396978,50.740286,20.1
342055577,867719,36882,14.699042,65.439328,20.1
342205644,1017786,37944,13.88645,79.325778,20.1
342377992,1190134,51766,7.457522,86.7833,20.1
342762887,1575029,-26349,28.80405,86.7833,20.1
342870837,1682979,-28093,25.332962,86.7833,20.1
342988955,1801097,-31924,19.618848,86.7833,20.1
343146417,1958559,-46108,9.400448,86.7833,20.1
343352269,2164411,-55269,6.544962,86.7833,20.1
343601316,2413458,-70179,4.055552,86.7833,20.1
344284436,0,68266,4.286592,86,19.3
344671344,386908,38212,13.686912,26.576456,19.3
344812553,528117,34045,17.251938,43.828394,19.3
344943275,658839,32181,19.306898,63.135292,19.3
345069877,785441,31234,20.492802,83.628094,19.3
345194640,910204,31374,20.313938,103.942032,19.3
345333975,1049539,41882,11.395538,115.33757,19.3
345565000,1280564,-27794,25.876818,115.33757,19.3
345662511,1378075,-24248,34.014752,115.33757,19.3
345763462,1479026,-26466,28.546568,115.33757,19.3
345876263,1591827,-29938,22.3112,115.33757,19.3
346004907,1720471,-34035,17.263688,115.33757,19.3
346157357,1872921,-41960,11.357378,115.33757,19.3
346350151,2065715,-54621,6.6978,115.33757,19.3
346899265,0,56243,6.315458,115,22.9
347089657,190392,42952,10.839168,17.154626,22.9
347244479,345214,37004,14.601608,31.756234,22.9
347383621,484356,33638,17.665568,49.421802,22.9
347514696,615431,32253,19.22,68.641802,22.9
347645223,745958,32716,18.678272,87.320074,22.9
347779310,880045,34137,17.158082,104.478156,22.9
347946190,1046925,53294,7.038752,111.516908,22.9
348210347,1311082,-30579,21.3858,111.516908,22.9
348316865,1417600,-25521,30.701448,111.516908,22.9
348417491,1518226,-25488,30.779858,111.516908,22.9
348529240,1629975,-31175,20.569698,111.516908,22.9
348681946,1782681,-43068,10.774082,111.516908,22.9
348869704,1970439,-49957,8.008002,111.516908,22.9
349089365,2190100,-60982,5.372642,111.516908,22.9
349659320,0,61119,5.352992,111,21.7
349859438,200118,44520,10.089032,15.442024,21.7
350022923,363603,39260,12.974418,28.416442,21.7
350173194,513874,36641,14.894882,43.311324,21.7
350318609,659289,36172,15.279392,58.590716,21.7
350464987,805667,36802,14.764178,73.354894,21.7
350615338,956018,37979,13.865378,87.220272,21.7
350958579,1299259,-30961,20.852882,87.220272,21.7
351066052,1406732,-26930,27.572738,87.220272,21.7
351174541,1515221,-27669,26.121992,87.220272,21.7
351292413,1633093,-32005,19.518752,87.220272,21.7
351433055,1773735,-38730,13.323122,87.220272,21.7
351610388,1951068,-48467,8.511938,87.220272,21.7
351833847,2174527,-64322,4.829832,87.220272,21.7
352303672,0,62024,5.197088,87,22.6
352502857,199185,43804,10.415048,15.612136,22.6
352663869,360197,38603,13.4162,29.028336,22.6
352811675,508003,36183,15.268338,44.296674,22.6
352953838,650166,35251,16.085792,60.382466,22.6
353096180,792508,35761,15.635232,76.017698,22.6
353241223,937551,36065,15.367968,91.385666,22.6
353415540,1111868,58286,5.88245,97.268116,22.6
353654935,1351263,-32749,18.641618,97.268116,22.6
353765086,1461414,-27170,27.0848,97.268116,22.6
353874681,1571009,-28199,25.148232,97.268116,22.6
353991217,1687545,-30969,20.852882,97.268116,22.6
354126064,1822392,-36217,15.246242,97.268116,22.6
354281916,1978244,-41427,11.645138,97.268116,22.6
354482968,2179296,-59388,5.664978,97.268116,22.6
354932893,0,62416,5.132808,97,22.8
355139752,206859,44920,9.910152,15.04296,22.8
355298850,365957,37960,13.875912,28.918872,22.8
355442789,509896,34682,16.623378,45.54225,22.8
355579061,646168,33699,17.606178,63.148428,22.8
355713879,780986,33705,17.594312,80.74274,22.8
355850452,917559,34477,16.82,97.56274,22.8
355995907,1063014,38238,13.67645,111.23919,22.8
356172435,1239542,-176528,0.640712,111.23919,22.8
356300300,1367407,-27313,26.805842,111.23919,22.8
356406932,1474039,-28159,25.219202,111.23919,22.8
356526313,1593420,-31023,20.775458,111.23919,22.8
356656444,1723551,-34515,16.785218,111.23919,22.8
356807247,1874354,-40774,12.024608,111.23919,22.8
356987084,2054191,-48362,8.544978,111.23919,22.8
357207276,2274383,-62387,5.132808,111.23919,22.8
357700682,0,60040,5.54445,111,21.6
357887351,186669,40543,12.162312,17.706762,21.6
358034439,333757,35006,16.313472,34.020234,21.6
358166861,466179,32347,19.108562,53.128796,21.6
358293407,592725,31374,20.313938,73.442734,21.6
358419807,719125,31507,20.135858,93.578592,21.6
358548247,847565,32550,18.874368,112.45296,21.6
358686863,986181,37039,14.569202,127.022162,21.6
358880283,1179601,-78331,3.256352,127.022162,21.6
359024730,1324048,-31193,20.54405,127.022162,21.6
