workout_time_usec,stroke_time_usec,tick_duration_usec,inst_drag,stroke_power,inst_spm
982352689,596257,22935,38.0192,142.411312,27.5
982540270,783838,24325,33.7842,213.797304,27.5
982965672,1209240,-24560,33.146082,213.797304,27.5
983143890,1387458,-23315,36.791042,213.797304,27.5
983247654,1491222,-28686,24.304392,213.797304,27.5
983389023,1632591,-41048,11.868192,213.797304,27.5
983561671,1805239,-42317,11.167538,213.797304,27.5
983736802,1980370,-48308,8.5698,213.797304,27.5
983964475,0,62252,5.158472,213,27.1
984128015,163540,37441,14.2578,19.416272,27.1
984263241,298766,31267,20.454408,39.87068,27.1
984377702,413227,27208,27.01125,66.88193,27.1
984479752,515277,24530,33.227552,100.109482,27.1
984666943,702468,23020,37.740672,174.692682,27.1
984762003,797528,24325,33.7842,208.476882,27.1
985067649,1103174,-34774,16.53125,208.476882,27.1
985173099,1208624,-24996,32,208.476882,27.1
985266670,1302195,-23367,36.619682,208.476882,27.1
985362596,1398121,-25096,31.744512,208.476882,27.1
985472280,1507805,-31143,20.6082,208.476882,27.1
985603266,1638791,-33707,17.594312,208.476882,27.1
985745337,1780862,-37920,13.907538,208.476882,27.1
985918153,1953678,-51004,7.6832,208.476882,27.1
986202221,0,62184,5.171328,208,26.8
986367956,165735,37577,14.161842,19.33317,26.8
986503303,301082,31689,19.90805,39.24122,26.8
986619065,416844,27399,26.630402,65.871622,26.8
986721223,519002,24532,33.227552,99.099174,26.8
986815684,613463,23234,37.048832,136.148006,26.8
986908284,706063,23082,37.532448,173.680454,26.8
987004278,802057,24542,33.194952,206.875406,26.8
987349911,1147690,-33062,18.289152,206.875406,26.8
987453168,1250947,-24411,33.554432,206.875406,26.8
987542710,1340489,-21995,41.332232,206.875406,26.8
987630569,1428348,-23178,37.221192,206.875406,26.8
987736304,1534083,-29825,22.471808,206.875406,26.8
987876192,1673971,-38434,13.530402,206.875406,26.8
988028736,1826515,-38675,13.36445,206.875406,26.8
988198723,1996502,-49495,8.1608,206.875406,26.8
988496657,0,50251,7.9202,206,26.1
988660919,164262,37646,14.108672,22.028872,26.1
988796181,299524,31664,19.945928,41.9748,26.1
988911111,414454,27141,27.143712,69.118512,26.1
989106255,609598,23172,37.23845,140.25634,26.1
989199433,702776,23294,36.842528,177.098868,26.1
989296454,799797,24914,32.208338,209.307206,26.1
989594312,1097655,-32053,19.456322,209.307206,26.1
989695854,1199197,-24557,33.162368,209.307206,26.1
989789787,1293130,-23942,34.877952,209.307206,26.1
989887780,1391123,-25917,29.768328,209.307206,26.1
990002232,1505575,-31718,19.870208,209.307206,26.1
990149097,1652440,-39084,13.086728,209.307206,26.1
990297471,1800814,-36964,14.63405,209.307206,26.1
990453989,1957332,-43535,10.552418,209.307206,26.1
990773807,0,46570,9.219218,209,26.3
990937172,163365,38154,13.7288,22.948018,26.3
991076441,302634,32812,18.568418,41.516436,26.3
991195957,422150,28202,25.13405,66.650486,26.3
991300513,526706,24991,32.016002,98.666488,26.3
991396069,622262,23370,36.602568,135.269056,26.3
991489482,715675,23238,37.031618,172.300674,26.3
991585629,811822,24608,33.015938,205.316612,26.3
991898169,1124362,-33199,18.144288,205.316612,26.3
991999095,1225288,-23942,34.877952,205.316612,26.3
992093400,1319593,-24624,32.983442,205.316612,26.3
992194710,1420903,-26894,27.647048,205.316612,26.3
992312691,1538884,-32535,18.886658,205.316612,26.3
992465046,1691239,-41577,11.56805,205.316612,26.3
992613611,1839804,-36439,15.059072,205.316612,26.3
992782638,2008831,-50195,7.936128,205.316612,26.3
993039772,0,65946,4.596512,205,26.4
993204326,164554,37180,14.461442,19.057954,26.4
993337161,297389,30997,20.814152,39.872106,26.4
993450188,410416,26729,27.990162,67.862268,26.4
993550378,510606,24119,34.378632,102.2409,26.4
993643992,604220,23072,37.567112,139.808012,26.4
993736879,697107,23237,37.031618,176.83963,26.4
993833664,793892,24817,32.465682,209.305312,26.4
994143141,1103369,-32130,19.369088,209.305312,26.4
994248003,1208231,-25355,31.094498,209.305312,26.4
994350554,1310782,-26560,28.35045,209.305312,26.4
994463576,1423804,-30658,21.268242,209.305312,26.4
994595164,1555392,-34935,16.382088,209.305312,26.4
994738811,1699039,-36908,14.677362,209.305312,26.4
994884465,1844693,-37500,14.215112,209.305312,26.4
995056738,2016966,-51454,7.550498,209.305312,26.4
995313707,0,59216,5.698688,209,26.3
995480645,166938,37924,13.896992,19.59568,26.3
995616538,302831,31836,19.731762,39.327442,26.3
996550163,1236456,-25165,31.569458,200.238078,26.3
996648560,1334853,-25098,31.744512,200.238078,26.3
996752084,1438377,-27221,26.981858,200.238078,26.3
996871237,1557530,-33574,17.736968,200.238078,26.3
997042727,1729020,-44181,10.242338,200.238078,26.3
997191144,1877437,-36468,15.037128,200.238078,26.3
997351632,2037925,-45527,9.644832,200.238078,26.3
997622194,0,53307,7.03125,39,25.9
997787306,165112,37559,14.172488,21.203738,25.9
997920943,298749,31392,20.28845,41.492188,25.9
998036033,413839,27255,26.923122,68.41531,25.9
998138609,516415,24682,32.821202,101.236512,25.9
998235137,612943,23313,36.791042,138.027554,25.9
998331226,709032,24141,34.312328,172.339882,25.9
998433380,811186,27386,26.659602,198.999484,25.9
998742800,1120606,-38883,13.220082,198.999484,25.9
998854105,1231911,-26000,29.583432,198.999484,25.9
998953588,1331394,-24979,32.048018,198.999484,25.9
999059471,1437277,-28409,24.7808,198.999484,25.9
999176381,1554187,-31143,20.6082,198.999484,25.9
999316798,1694604,-35490,15.870978,198.999484,25.9
999463710,1841516,-39886,12.570098,198.999484,25.9
999649706,2027512,-53743,6.9192,198.999484,25.9
999918598,0,63926,4.892192,198,26.1
1000093429,174831,40373,12.261152,17.153344,26.1
1000232055,313457,31861,19.694088,36.847432,26.1
1000348013,429415,27364,26.703432,63.550864,26.1
1000450142,531544,24668,32.853618,96.404482,26.1
1000545456,626858,23432,36.414578,132.81906,26.1
1000639737,721139,23570,35.989128,168.808188,26.1
1000738361,819763,25492,30.764168,199.572356,26.1
1001047071,1128473,-34327,16.971138,199.572356,26.1
1001156068,1237470,-26604,28.245128,199.572356,26.1
1001258757,1340159,-25844,29.938322,199.572356,26.1
1001364531,1445933,-27847,25.790562,199.572356,26.1
1001488986,1570388,-33928,17.369618,199.572356,26.1
1001638335,1719737,-40282,12.320648,199.572356,26.1
1001789849,1871251,-37631,14.119298,199.572356,26.1
1001959126,2040528,-50351,7.888392,199.572356,26.1
1002216282,0,58970,5.74605,199,26.1
1002384994,168712,38419,13.540808,19.286858,26.1
1002523136,306854,32324,19.133298,38.420156,26.1
1002640460,424178,27710,26.035328,64.455484,26.1
1002743866,527584,24883,32.288648,96.744132,26.1
1002840261,623979,23777,35.36405,132.108182,26.1
1002935797,719515,23944,34.877952,166.986134,26.1
1003036409,820127,26339,28.819232,195.805366,26.1
1003312528,1096246,-35532,15.837192,195.805366,26.1
1003419080,1202798,-25156,31.60125,195.805366,26.1
