time,stroke_usec,tick_usec,force,power,spm
495867591,0,164800,0.734472,0,0.1
496583697,716106,70256,4.049858,4.78433,0.1
496795862,928271,44581,10.062098,14.846428,0.1
496950943,1083352,36207,15.246242,30.09267,0.1
497088185,1220594,33517,17.796578,47.889248,0.1
497222654,1355063,33448,17.868242,65.75749,0.1
497361460,1493869,35631,15.747272,81.504762,0.1
497529998,1662407,49839,8.048072,89.552834,0.1
497748476,1880885,-28773,24.15125,89.552834,0.1
497848821,1981230,-24141,34.312328,89.552834,0.1
497939993,2072402,-22575,39.232082,89.552834,0.1
498028212,2160621,-23045,37.653842,89.552834,0.1
498136703,2269112,-30877,20.969288,89.552834,0.1
498281682,2414091,-40189,12.380288,89.552834,0.1
498472954,2605363,-57186,6.111008,89.552834,0.1
498659184,0,34781,16.53125,89,21.4
498896139,236955,43096,10.7648,27.29605,21.4
499049192,390008,36536,14.982338,42.278388,21.4
499184334,525150,32581,18.837522,61.11591,21.4
499310627,651443,31131,20.633888,81.749798,21.4
499435417,776233,30931,20.904578,102.654376,21.4
499559524,900340,31171,20.582528,123.236904,21.4
499691157,1031973,34143,17.146368,140.383272,21.4
499846626,1187442,-155469,0.826898,140.383272,21.4
499958719,1299535,-25401,30.984192,140.383272,21.4
500055021,1395837,-24256,33.981768,140.383272,21.4
500152421,1493237,-24815,32.465682,140.383272,21.4
500256073,1596889,-27704,26.049762,140.383272,21.4
500375244,1716060,-31461,20.199368,140.383272,21.4
500510650,1851466,-36338,15.136002,140.383272,21.4
500674525,2015341,-47757,8.761298,140.383272,21.4
501071669,0,61327,5.3138,140,24.8
501260625,188956,40524,12.172178,17.485978,24.8
501407498,335829,34714,16.5888,34.074778,24.8
501539559,467890,31962,19.568768,53.643546,24.8
501663827,592158,30542,21.438152,75.081698,24.8
501784351,712682,29736,22.606088,97.687786,24.8
501903909,832240,30151,21.991712,119.679498,24.8
502031332,959663,32849,18.531872,138.21137,24.8
502182671,1111002,-52212,7.33445,138.21137,24.8
502284691,1213022,-22323,40.122882,138.21137,24.8
502365955,1294286,-19794,51.045408,138.21137,24.8
502443891,1372222,-19681,51.633122,138.21137,24.8
502525086,1453417,-22027,41.205042,138.21137,24.8
502620405,1548736,-25228,31.410738,138.21137,24.8
502728242,1656573,-29023,23.73605,138.21137,24.8
502856635,1784966,-35384,15.972552,138.21137,24.8
503037716,1966047,-58527,5.834528,138.21137,24.8
503263088,0,225372,0.392498,138,27.3
503472797,209709,45157,9.803592,10.19609,27.3
503627398,364310,36363,15.125,25.32109,27.3
503763462,500374,32712,18.678272,43.999362,27.3
503889546,626458,30780,21.099008,65.09837,27.3
504010076,746988,29767,22.565762,87.664132,27.3
504129263,866175,29651,22.740768,110.4049,27.3
504249164,986076,30291,21.793202,132.198102,27.3
504376307,1113219,33091,18.252882,150.450984,27.3
504496601,1233513,-120294,1.381122,150.450984,27.3
504609354,1346266,-24671,32.853618,150.450984,27.3
504702386,1439298,-23372,36.602568,150.450984,27.3
504791442,1528354,-21924,41.605442,150.450984,27.3
504878564,1615476,-22571,39.2498,150.450984,27.3
504974718,1711630,-25741,30.170912,150.450984,27.3
505087506,1824418,-30442,21.569312,150.450984,27.3
505224382,1961294,-38279,13.645088,150.450984,27.3
505457024,2193936,-87077,2.635808,150.450984,27.3
505801894,0,47172,8.980322,150,23.6
505963382,161488,37243,14.41845,23.398772,23.6
506102733,300839,33294,18.036018,41.43479,23.6
506229914,428020,31216,20.518418,61.953208,23.6
506352516,550622,30470,21.529922,83.48313,23.6
506474728,672834,30505,21.490568,104.973698,23.6
506598293,796399,31120,20.646738,125.620436,23.6
506834199,1032305,-100055,1.996002,139.109254,23.6
506967232,1165338,-27563,26.324768,139.109254,23.6
507067266,1265372,-24763,32.610888,139.109254,23.6
507163492,1361598,-24075,34.494818,139.109254,23.6
507258001,1456107,-24219,34.080768,139.109254,23.6
507356257,1554363,-25508,30.7328,139.109254,23.6
507466514,1664620,-30069,22.11125,139.109254,23.6
507600254,1798360,-36353,15.125,139.109254,23.6
507795630,1993736,-68097,4.310048,139.109254,23.6
508159841,0,45709,9.565938,125,25.4
508318392,158551,36941,14.655698,24.221636,25.4
508457137,297296,33307,18.024008,42.245644,25.4
508584014,424173,31019,20.775458,63.021102,25.4
508705878,546037,30212,21.898962,84.920064,25.4
508827138,667297,30214,21.898962,106.819026,25.4
508949277,789436,30711,21.203072,128.022098,25.4
509078573,918732,34130,17.158082,145.18018,25.4
509223377,1063536,-144804,0.9522,145.18018,25.4
509331201,1171360,-23383,36.568352,145.18018,25.4
509419587,1259746,-22987,37.845,145.18018,25.4
509511620,1351779,-23375,36.602568,145.18018,25.4
509608485,1448644,-25929,29.737472,145.18018,25.4
509720040,1560199,-29795,22.525472,145.18018,25.4
509843096,1683255,-32226,19.257218,145.18018,25.4
509985673,1825832,-39836,12.6002,145.18018,25.4
510211605,2051764,-78676,3.230882,145.18018,25.4
510549887,0,48961,8.339528,145,25.1
510714578,164691,37251,14.407712,22.74724,25.1
510855154,305267,33795,17.511362,40.258602,25.1
510984320,434433,31535,20.110482,60.369084,25.1
511108533,558646,30924,20.904578,81.273662,25.1
511232689,682802,30868,20.982242,102.255904,25.1
511357326,807439,31426,20.250248,122.506152,25.1
511489630,939743,34933,16.382088,138.88824,25.1
511598797,1048910,-109167,1.678112,138.88824,25.1
511709491,1159604,-23972,34.794482,138.88824,25.1
511797947,1248060,-22465,39.622802,138.88824,25.1
511886393,1336506,-22253,40.374098,138.88824,25.1
